,0,
0,1532829,12
1,1558993,15
2,1704323,50
3,1749939,64
4,1770081,70
5,1843383,96
6,1855672,99
7,1910747,107
8,1930112,111
9,1981276,121
10,2074367,149
11,2089867,166
12,2091244,173
13,2091831,176
14,2099601,207
15,2101006,214
16,2105505,228
17,2108089,242
18,2108551,244
19,2108915,245
20,2110063,249
21,2110341,251
22,2111277,256
23,2113712,266
24,2114548,270
25,2116738,275
26,2120079,279
27,2129165,291
28,2138441,299
29,2165456,301
30,2174001,306
31,2219486,310
32,2443484,359
33,2457408,364
34,2606052,392
35,2687172,403
36,2747177,412
37,2795169,427
38,2823428,440
39,2871525,454
40,2950826,471
41,2966193,476
42,2971356,478
43,2981792,484
44,3017168,494
45,3047690,502
46,3062245,503
47,3075370,507
48,3127925,519
49,3146219,524
50,3207743,533
51,3220513,538
52,3272010,546
53,3337140,553
54,3347037,556
55,3400231,567
56,3417042,569
57,3476684,584
58,3527444,597
59,3535780,602
60,3544143,604
61,3584254,605
62,3676483,629
63,3770439,655
64,3773504,657
65,3775546,659
66,3838899,683
67,3854065,687
68,3888605,702
69,3908618,709
70,3924679,713
71,3980874,735
72,3998194,741
73,4067472,758
74,4146614,779
75,4149813,781
76,4243546,800
77,4251144,801
78,4258138,807
79,4275548,815
80,4296562,819
81,4389033,847
82,4418357,854
83,4435653,858
84,4443257,860
85,4509417,880
86,4515003,881
87,4522168,883
88,4596742,909
89,4604644,912
90,4612504,914
91,6794110,920
92,7584110,925
93,7613480,927
94,7697537,934
95,7747607,950
96,9246464,972
97,9256479,973
98,13054560,997
99,13133613,998
